DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
ENTITY,org.optaweb.vehiclerouting.plugin.persistence.DistanceEntity,6,1,4,0,0,6,6,10,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\persistence\DistanceEntity.java,class,true,69
UNDEFINED,org.optaweb.vehiclerouting.domain.Vehicle,6,1,1,0,0,6,3,10,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\domain\Vehicle.java,class,false,60
[MAP],org.optaweb.vehiclerouting.plugin.planner.DistanceMap,13,1,3,58,0,13,7,15,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\DistanceMap.java,class,false,108
[WEBSOCKETMESSAGEBROKERCONFIGURER],org.optaweb.vehiclerouting.plugin.websocket.WebSocketConfig,3,1,6,3,0,3,6,3,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\websocket\WebSocketConfig.java,class,false,67
LOCATIONDATA,org.optaweb.vehiclerouting.domain.Location,6,2,3,0,0,6,2,10,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\domain\Location.java,class,false,65
UNDEFINED,org.optaweb.vehiclerouting.plugin.websocket.PortableRoute,5,1,4,2,0,5,4,5,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\websocket\PortableRoute.java,class,false,63
SERVICE,org.optaweb.vehiclerouting.service.demo.DemoService,5,1,9,0,0,5,14,9,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\service\demo\DemoService.java,class,true,88
UNDEFINED,org.optaweb.vehiclerouting.domain.Route,5,1,2,0,1,5,13,9,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\domain\Route.java,class,false,89
TEST,org.optaweb.vehiclerouting.plugin.planner.SolutionUtilTest,9,1,10,36,0,9,34,11,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\test\java\org\optaweb\vehiclerouting\plugin\planner\SolutionUtilTest.java,class,false,144
[PROBLEMFACTCHANGE],org.optaweb.vehiclerouting.plugin.planner.change.RemoveLocation,2,1,7,0,0,2,9,6,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\change\RemoveLocation.java,class,false,54
SERVICE,org.optaweb.vehiclerouting.service.reload.ReloadService,2,1,6,0,0,2,3,3,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\service\reload\ReloadService.java,class,true,50
ENTITY,org.optaweb.vehiclerouting.TestConfig,1,1,4,0,0,1,1,1,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\test\java\org\optaweb\vehiclerouting\TestConfig.java,class,false,37
ENTITY,org.optaweb.vehiclerouting.plugin.routing.RoutingProperties,2,1,4,0,0,2,0,2,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\routing\RoutingProperties.java,class,false,43
[PROBLEMFACTCHANGE],org.optaweb.vehiclerouting.plugin.planner.change.RemoveCustomer,2,1,7,0,0,2,18,7,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\change\RemoveCustomer.java,class,false,63
ENTITY,org.optaweb.vehiclerouting.plugin.persistence.DistanceKey,6,1,2,0,0,6,3,10,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\persistence\DistanceKey.java,class,false,68
TEST,org.optaweb.vehiclerouting.plugin.persistence.DistanceRepositoryIntegrationTest,4,1,10,0,0,4,13,4,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\test\java\org\optaweb\vehiclerouting\plugin\persistence\DistanceRepositoryIntegrationTest.java,class,false,75
UNDEFINED,org.optaweb.vehiclerouting.service.demo.dataset.DataSetMarshaller,10,1,6,33,0,10,34,12,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\service\demo\dataset\DataSetMarshaller.java,class,false,124
TEST,org.optaweb.vehiclerouting.plugin.websocket.RoutePublisherImplTest,3,1,13,3,0,3,32,3,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\test\java\org\optaweb\vehiclerouting\plugin\websocket\RoutePublisherImplTest.java,class,false,139
UNDEFINED,org.optaweb.vehiclerouting.Profiles,1,1,0,0,0,1,0,1,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\Profiles.java,class,false,27
TEST,org.optaweb.vehiclerouting.domain.VehicleTest,2,1,2,1,0,2,5,2,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\test\java\org\optaweb\vehiclerouting\domain\VehicleTest.java,class,false,50
SERVICE,org.optaweb.vehiclerouting.service.location.LocationService,6,1,7,0,0,6,16,7,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\service\location\LocationService.java,class,true,86
UNDEFINED,org.optaweb.vehiclerouting.domain.CountryCodeValidator,2,1,1,1,0,2,12,6,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\domain\CountryCodeValidator.java,class,false,63
UNDEFINED,org.optaweb.vehiclerouting.service.route.ShallowRoute,2,1,0,0,0,2,9,2,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\service\route\ShallowRoute.java,class,false,71
TEST,org.optaweb.vehiclerouting.plugin.websocket.PortableRouteTest,4,1,9,6,0,4,12,4,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\test\java\org\optaweb\vehiclerouting\plugin\websocket\PortableRouteTest.java,class,false,75
PERSISTENCE,org.optaweb.vehiclerouting.plugin.persistence.DistanceRepositoryImpl,3,1,6,0,0,3,6,5,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\persistence\DistanceRepositoryImpl.java,class,false,50
TEST,org.optaweb.vehiclerouting.domain.RoutingPlanTest,3,1,5,0,0,3,11,3,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\test\java\org\optaweb\vehiclerouting\domain\RoutingPlanTest.java,class,false,55
