DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
UNDEFINED,org.jbei.ice.lib.entry.sequence.PartTraceSequences,parseTraceSequence,23,7,12,2,0,7412,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\PartTraceSequences.java
UNDEFINED,org.jbei.ice.lib.entry.sequence.PartTraceSequences,addTraceSequence,58,12,14,2,0,3548,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\PartTraceSequences.java
UNDEFINED,org.jbei.ice.lib.entry.sequence.PartTraceSequences,getTraces,25,4,13,2,0,6047,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\PartTraceSequences.java
UNDEFINED,org.jbei.ice.lib.entry.sequence.PartTraceSequences,buildOrRebuildAlignment,71,17,14,2,0,9974,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\PartTraceSequences.java
UNDEFINED,org.jbei.ice.lib.entry.sequence.PartTraceSequences,getAll,28,4,15,0,0,1920,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\PartTraceSequences.java
UNDEFINED,org.jbei.ice.lib.entry.sequence.PartTraceSequences,importTraceSequence,15,6,10,3,0,8654,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\PartTraceSequences.java
UNDEFINED,org.jbei.ice.lib.entry.sequence.PartTraceSequences,canEdit,3,1,4,3,0,14721,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\PartTraceSequences.java
ENTITY,org.jbei.ice.storage.model.Protein,setFullName,3,1,2,1,0,1203,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\model\Protein.java
ENTITY,org.jbei.ice.storage.model.Protein,getOrganism,3,1,1,0,0,983,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\model\Protein.java
ENTITY,org.jbei.ice.storage.model.Protein,setUploadedFrom,3,1,2,1,0,1519,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\model\Protein.java
ENTITY,org.jbei.ice.storage.model.Protein,toDataTransferObject,10,1,3,0,0,1623,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\model\Protein.java
ENTITY,org.jbei.ice.storage.model.Protein,setOrganism,3,1,2,1,0,1049,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\model\Protein.java
ENTITY,org.jbei.ice.storage.model.Protein,getGeneName,3,1,1,0,0,1291,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\model\Protein.java
ENTITY,org.jbei.ice.storage.model.Protein,setGeneName,3,1,2,1,0,1357,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\model\Protein.java
ENTITY,org.jbei.ice.storage.model.Protein,getFullName,3,1,1,0,0,1137,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\model\Protein.java
ENTITY,org.jbei.ice.storage.model.Protein,getUploadedFrom,3,1,1,0,0,1445,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\model\Protein.java
SERVICE,org.jbei.ice.services.rest.SequenceResource,updateSequences,15,3,10,2,0,606,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\services\rest\SequenceResource.java
SERVICE,org.jbei.ice.services.rest.SequenceResource,getSequenceHistory,4,1,2,1,0,1450,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\services\rest\SequenceResource.java
MODEL,org.jbei.ice.lib.entry.sample.PlateSamples,setAccountInfo,10,2,5,2,0,2901,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sample\PlateSamples.java
MODEL,org.jbei.ice.lib.entry.sample.PlateSamples,setSample,31,7,13,2,0,1125,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sample\PlateSamples.java
MODEL,org.jbei.ice.lib.entry.sample.PlateSamples,numberToPosition,24,11,3,1,0,3377,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sample\PlateSamples.java
ENTITY,org.jbei.ice.lib.parsers.genbank.GenbankLocation,isSingleResidue,3,1,1,0,0,1094,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\parsers\genbank\GenbankLocation.java
ENTITY,org.jbei.ice.lib.parsers.genbank.GenbankLocation,setInbetween,3,1,2,1,0,812,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\parsers\genbank\GenbankLocation.java
ENTITY,org.jbei.ice.lib.parsers.genbank.GenbankLocation,isInbetween,3,1,1,0,0,909,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\parsers\genbank\GenbankLocation.java
ENTITY,org.jbei.ice.lib.parsers.genbank.GenbankLocation,getGenbankStart,3,1,1,0,0,506,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\parsers\genbank\GenbankLocation.java
ENTITY,org.jbei.ice.lib.parsers.genbank.GenbankLocation,setSingleResidue,3,1,2,1,0,981,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\parsers\genbank\GenbankLocation.java
ENTITY,org.jbei.ice.lib.parsers.genbank.GenbankLocation,getEnd,3,1,1,0,0,686,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\parsers\genbank\GenbankLocation.java
ENTITY,org.jbei.ice.lib.parsers.genbank.GenbankLocation,setEnd,3,1,2,1,0,743,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\parsers\genbank\GenbankLocation.java
ENTITY,org.jbei.ice.lib.parsers.genbank.GenbankLocation,setGenbankStart,3,1,2,1,0,581,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\parsers\genbank\GenbankLocation.java
UNDEFINED,org.jbei.ice.lib.entry.sequence.annotation.Annotations,curate,25,8,7,1,0,8609,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\annotation\Annotations.java
UNDEFINED,org.jbei.ice.lib.entry.sequence.annotation.Annotations,filter,20,2,15,3,0,3561,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\annotation\Annotations.java
UNDEFINED,org.jbei.ice.lib.entry.sequence.annotation.Annotations,rebuild,5,2,3,0,0,7872,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\annotation\Annotations.java
UNDEFINED,org.jbei.ice.lib.entry.sequence.annotation.Annotations,get,19,5,12,3,0,2040,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\annotation\Annotations.java
UNDEFINED,org.jbei.ice.lib.entry.sequence.annotation.Annotations,isAdministrator,4,1,4,0,0,8408,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\annotation\Annotations.java
UNDEFINED,org.jbei.ice.lib.entry.sequence.annotation.Annotations,generate,39,13,21,2,0,4733,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\annotation\Annotations.java
UNDEFINED,org.jbei.ice.lib.entry.sequence.annotation.Annotations,generate,13,2,6,1,0,7109,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\annotation\Annotations.java
MODEL,org.jbei.ice.lib.dto.History,setAccount,3,1,2,1,0,959,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\History.java
MODEL,org.jbei.ice.lib.dto.History,getAction,3,1,1,0,0,582,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\History.java
MODEL,org.jbei.ice.lib.dto.History,setId,3,1,2,1,0,516,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\History.java
MODEL,org.jbei.ice.lib.dto.History,getUserId,3,1,1,0,0,732,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\History.java
MODEL,org.jbei.ice.lib.dto.History,setAction,3,1,2,1,0,648,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\History.java
MODEL,org.jbei.ice.lib.dto.History,getTime,3,1,1,0,0,1056,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\History.java
MODEL,org.jbei.ice.lib.dto.History,setUserId,3,1,2,1,0,798,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\History.java
MODEL,org.jbei.ice.lib.dto.History,setTime,3,1,2,1,0,1116,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\History.java
MODEL,org.jbei.ice.lib.dto.History,setPartner,3,1,2,1,0,1267,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\History.java
MODEL,org.jbei.ice.lib.dto.History,getPartner,3,1,1,0,0,1190,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\History.java
MODEL,org.jbei.ice.lib.dto.History,getId,3,1,1,0,0,460,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\History.java
MODEL,org.jbei.ice.lib.dto.History,getAccount,3,1,1,0,0,882,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\History.java
PERSISTENCE,org.jbei.ice.storage.hibernate.dao.SequenceDAO,hasSequence,13,2,9,1,0,2133,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\hibernate\dao\SequenceDAO.java
PERSISTENCE,org.jbei.ice.storage.hibernate.dao.SequenceDAO,hasOriginalSequence,13,2,9,1,0,3289,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\hibernate\dao\SequenceDAO.java
PERSISTENCE,org.jbei.ice.storage.hibernate.dao.SequenceDAO,getSequenceFilename,12,2,7,1,0,2775,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\hibernate\dao\SequenceDAO.java
PERSISTENCE,org.jbei.ice.storage.hibernate.dao.SequenceDAO,getSequenceCount,14,2,9,0,0,5439,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\hibernate\dao\SequenceDAO.java
PERSISTENCE,org.jbei.ice.storage.hibernate.dao.SequenceDAO,get,3,1,2,1,0,6171,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\hibernate\dao\SequenceDAO.java
PERSISTENCE,org.jbei.ice.storage.hibernate.dao.SequenceDAO,getByEntry,13,2,8,1,0,753,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\hibernate\dao\SequenceDAO.java
PERSISTENCE,org.jbei.ice.storage.hibernate.dao.SequenceDAO,getSequence,13,2,10,1,0,4362,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\hibernate\dao\SequenceDAO.java
PERSISTENCE,org.jbei.ice.storage.hibernate.dao.SequenceDAO,getSequenceString,12,2,7,1,0,1606,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\hibernate\dao\SequenceDAO.java
UNDEFINED,org.jbei.ice.lib.bulkupload.BulkCSVUploadHeaders,addStrainHeaders,5,1,1,1,0,1905,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\bulkupload\BulkCSVUploadHeaders.java
UNDEFINED,org.jbei.ice.lib.bulkupload.BulkCSVUploadHeaders,getHeadersForType,21,6,2,1,0,322,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\bulkupload\BulkCSVUploadHeaders.java
UNDEFINED,org.jbei.ice.lib.bulkupload.BulkCSVUploadHeaders,adddFileHeaders,5,1,1,1,0,1690,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\bulkupload\BulkCSVUploadHeaders.java
UNDEFINED,org.jbei.ice.lib.bulkupload.BulkCSVUploadHeaders,addPlasmidHeaders,8,1,1,1,0,2112,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\bulkupload\BulkCSVUploadHeaders.java
UNDEFINED,org.jbei.ice.lib.bulkupload.BulkCSVUploadHeaders,getCommonFields,19,1,2,0,0,979,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\bulkupload\BulkCSVUploadHeaders.java
UNDEFINED,org.jbei.ice.lib.bulkupload.BulkCSVUploadHeaders,addArabidopsisSeedHeaders,10,1,1,1,0,2447,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\bulkupload\BulkCSVUploadHeaders.java
UNDEFINED,org.jbei.ice.lib.bulkupload.BulkCSVUploadHeaders,addProteinHeaders,6,1,1,1,0,2863,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\bulkupload\BulkCSVUploadHeaders.java
[HMACSIGNATURE],org.jbei.auth.hmac.DefaultHmacSignature,generateSignature,7,2,4,0,0,883,D:\Projetos\_Web\ice\src\main\java\org\jbei\auth\hmac\DefaultHmacSignature.java
